customer_id;first_name;last_name;address;postcode;city;country;email;date_of_birth
1;Kelly;Potts;"39905 Heidi Shoals Apt. 514
Deborahburgh, ND 37398";59519;Millertown;Botswana;knguyen@example.org;1998-01-15
2;Robert;Santiago;"02351 Eric Terrace Suite 597
Markfort, NC 85962";52378;West Timothyburgh;Switzerland;james55@example.com;1954-11-17
3;Kayla;Cooke;"0779 Vickie Burgs
Atkinsonton, OR 54123";21347;New Josephfurt;Nauru;jacobsonmanuel@example.net;1958-09-01
4;Austin;Pham;"62101 Frank Inlet
Sethfort, IN 55937";68624;Lake Arthurland;Syrian Arab Republic;johnsonlisa@example.net;1991-10-16
5;Matthew;Harrison;"397 Lauren Station Suite 078
East Robin, DE 63099";01370;Aaronmouth;Ecuador;kgriffin@example.org;1987-04-22
6;Brandon;Deleon;"70316 Mitchell Square Suite 140
New Elijahborough, MI 39585";08234;Lunaport;Cameroon;kimberlymorgan@example.org;1994-03-14
7;Sara;Howard;"944 Moore Wells
Piercebury, NH 66345";16488;New Jay;Western Sahara;monicacarpenter@example.org;1997-10-18
8;Jill;Curtis;"446 Armstrong Ford
Jimmyfurt, MN 46659";40445;Williamborough;Colombia;donnahenderson@example.com;1962-03-20
9;Thomas;Leblanc;"32310 Walls Harbor
Ramoshaven, MS 81960";95273;West Katherinetown;Germany;annawagner@example.com;1970-12-21
10;Steven;Cummings;"107 James Parks
South Jenniferport, DE 67591";54145;Port Katherine;Grenada;dillonhoover@example.com;1982-05-15
11;Zachary;Martin;"238 Ashley Crossing
Robertsberg, AK 83783";80597;Ramirezberg;Gambia;robinsonsarah@example.com;1958-02-09
12;John;Palmer;"1798 Christy Way Suite 393
West Jasmineville, MI 90688";72779;East Matthewfurt;Korea;uwallace@example.org;1981-04-20
13;James;Hester;"79274 Luis Crest Suite 912
Feliciamouth, CT 65789";16228;West Williamburgh;New Caledonia;dwilson@example.net;1997-02-17
14;Holly;Blankenship;"770 Curry Courts Apt. 509
Philipburgh, AL 91740";32126;South Chadtown;Brazil;ambersexton@example.org;1994-10-19
15;Angela;Blanchard;"13005 Stacy Ridge
Saramouth, PA 51888";36026;Ramirezland;Ghana;uwallace@example.net;1955-01-10
16;Brianna;Anderson;"Unit 3447 Box 8301
DPO AP 82709";03233;Lake Waltertown;Morocco;odonnelljennifer@example.net;1990-03-18
17;Ray;Campbell;"97347 Davis Mill Suite 032
Deanton, MT 99878";92732;Lisahaven;Mali;kimberly82@example.org;2000-05-24
18;Christina;Boyd;"012 Lopez Harbor
Lake Josephbury, MO 03304";17625;New Patricia;El Salvador;rthornton@example.org;1960-11-26
19;John;Walsh;"975 Laurie Harbor
Ryanhaven, NY 99889";08323;Rodriguezton;British Virgin Islands;stevensamanda@example.com;1983-12-20
20;Brandi;Jennings;"46652 James Parks Apt. 795
West Debrachester, KS 64828";88525;Luisland;Saudi Arabia;xmurray@example.org;1984-06-25
